filename,width,height,class,xmin,ymin,xmax,ymax
WhatsApp-Image-2023-04-25-at-15-18-49_jpeg.rf.d15f9eee036135e6c7973e6931fa0377.jpg,640,640,truck,232,253,281,342
Screen-Shot-2023-04-24-at-18-11-06_png.rf.d38e18714ef67bf1cdbff73b88c09a43.jpg,640,640,car,224,259,253,294
Screen-Shot-2023-04-24-at-18-02-04_png.rf.db2e2d7db86b0e4fc47322c5fe269739.jpg,640,640,car,95,186,247,357
Screen-Shot-2023-04-24-at-18-02-04_png.rf.db2e2d7db86b0e4fc47322c5fe269739.jpg,640,640,car,220,155,280,223
Screen-Shot-2023-04-24-at-18-02-04_png.rf.db2e2d7db86b0e4fc47322c5fe269739.jpg,640,640,car,152,168,177,192
Screen-Shot-2023-04-24-at-18-02-04_png.rf.db2e2d7db86b0e4fc47322c5fe269739.jpg,640,640,car,329,143,389,218
Screen-Shot-2023-04-24-at-18-02-04_png.rf.db2e2d7db86b0e4fc47322c5fe269739.jpg,640,640,car,462,147,500,178
Screen-Shot-2023-04-24-at-18-02-04_png.rf.db2e2d7db86b0e4fc47322c5fe269739.jpg,640,640,car,503,154,538,179
Screen-Shot-2023-04-24-at-18-02-04_png.rf.db2e2d7db86b0e4fc47322c5fe269739.jpg,640,640,truck,310,117,335,168
Screen-Shot-2023-04-24-at-18-02-04_png.rf.db2e2d7db86b0e4fc47322c5fe269739.jpg,640,640,truck,562,55,640,305
cars-regularly-stop-in-philadelphia-s-bike-lanes-that-aren-t-protected-by-delineator-posts-emma-lee-whyy-original_jpg.rf.cfd81552c24d40fb32b9502b6d55310d.jpg,640,640,car,0,143,232,609
cars-regularly-stop-in-philadelphia-s-bike-lanes-that-aren-t-protected-by-delineator-posts-emma-lee-whyy-original_jpg.rf.cfd81552c24d40fb32b9502b6d55310d.jpg,640,640,bike,222,54,312,448
cars-regularly-stop-in-philadelphia-s-bike-lanes-that-aren-t-protected-by-delineator-posts-emma-lee-whyy-original_jpg.rf.cfd81552c24d40fb32b9502b6d55310d.jpg,640,640,car,397,153,634,462
cars-regularly-stop-in-philadelphia-s-bike-lanes-that-aren-t-protected-by-delineator-posts-emma-lee-whyy-original_jpg.rf.cfd81552c24d40fb32b9502b6d55310d.jpg,640,640,car,291,99,437,332
images-1-_jpeg.rf.d1878c3a7a35ccd6045b6c05381d4b75.jpg,640,640,bike,224,328,292,613
images-1-_jpeg.rf.d1878c3a7a35ccd6045b6c05381d4b75.jpg,640,640,pedestrian,13,313,78,595
images-1-_jpeg.rf.d1878c3a7a35ccd6045b6c05381d4b75.jpg,640,640,pedestrian,96,334,156,583
Screen-Shot-2023-04-24-at-17-53-46_png.rf.d50550c369904331742ef3252a1d3025.jpg,640,640,car,87,96,201,188
